10000
350219	230382	221027	317926	5104
75243	428680	689673	981425	245606
212835	398317	751453	793627	258798
709265	459923	485611	451059	943907
614736	969004	603193	527975	197436
952718	154137	485119	221201	308414
921407	641329	770454	155954	259383
811754	283850	412693	99795	670511
905658	431666	136881	600277	717760
751634	490328	756373	93027	187654
173797	780744	677455	959825	80508
887089	174679	699386	165350	310579
532143	38518	588001	221651	686527
784285	642008	770071	762850	812543
555403	905052	633726	233110	277854
872668	-229	315661	73926	459978
758243	994208	723660	926441	887705
590911	958617	582109	446240	46176
757718	428436	265624	650234	197475
487062	59353	862722	982922	74726
840895	981191	357759	783543	345386
151110	439619	24954	568645	830865
722715	572166	704888	183030	142452
280657	682896	290254	590310	987481
376172	975576	323553	74192	989303
956692	333731	813831	623604	587592
786043	316171	702558	994017	692669
888755	227105	419954	55316	719446
287206	876524	808692	571008	96736
553691	369702	340050	42471	925429
964971	203586	862635	236104	135447
385506	481611	349539	676736	833916
101199	409129	650600	620558	629265
69422	938559	925571	721713	424813
902413	799096	322460	428902	241370
992961	168305	200577	120479	266720
815056	751744	250663	715342	639142
813714	682903	666295	450696	66793
85827	882025	429579	67984	821528
372934	18377	867113	698480	167875
425271	829723	641893	450105	364970
805679	326772	473457	666982	671478
98354	605923	7268	710823	835667
244421	622882	397780	421796	736487
358110	332683	521309	316881	611343
845778	139877	257131	888757	137768
466151	456663	810781	775924	162468
184139	403167	678877	359594	116381
507855	442030	866730	779599	862238
864504	240210	982492	540289	506717
126329	565989	91396	844840	527045
823133	711278	465387	64243	794116
483346	37461	241142	947684	200147
655243	14351	753843	935936	919229
905886	346540	127979	368312	496164
368603	794705	609100	257357	806862
398920	11919	428492	446572	75032
412008	251306	803835	242146	939178
162620	733142	75964	832955	114336
99084	805599	690946	171592	623621
11218	918485	660417	333015	91124
846605	222208	262898	897207	607086
39920	802687	929981	220309	505359
605413	905452	829212	665095	104128
504891	403624	220564	123779	46626
530207	996303	129599	671371	411939
711506	86598	562897	9504	331566
623780	240081	106996	90133	976670
36612	613684	524588	552720	639655
761421	585864	83493	929604	315269
657028	519578	456106	692732	207220
502826	644789	157604	728837	603905
723552	823393	571915	540272	863090
190457	495085	284176	948316	835275
201717	145486	484525	896406	774291
293698	288698	309832	392081	534310
641294	172161	65959	654725	437049
754955	564773	989967	599827	691865
831386	222344	262762	782476	127518
470372	308811	896694	933347	974043
69154	306046	911886	237838	508495
693930	689201	610008	605855	182951
246845	407459	102940	493077	108278
707768	383367	839352	279472	162478
824846	692900	257207	204323	12684
529074	189702	8260	652981	186765
502693	62387	85325	1807	142903
518875	510390	614938	9895	462393
831704	6685	803293	10776	781752
587515	793669	676864	796004	81068
991388	803325	629797	877320	70167
952152	358028	268720	394658	197568
970329	873926	501116	464623	394707
270585	530169	658271	569842	93196
64572	368313	307370	678570	385950
71310	584130	85668	61766	915158
512359	844777	530150	69490	887141
152374	996358	787496	492236	659321
184347	422581	470869	886167	422972
855765	155868	899834	590726	65056
365884	869413	929961	271054	271824
359412	350244	216071	5219	213067
422186	542980	223914	984899	506310
991599	58882	590397	101074	311864
38658	795829	689669	707024	680780
462887	306229	323224	266034	911014
40818	501079	952611	471869	18181
842716	633840	161418	676733	254482
140779	289426	800226	158869	255079
114520	404313	870547	795661	262901
561362	234473	926543	356330	411504
256835	704176	135105	622928	365156
776670	861058	261234	855922	311676
327771	323212	609213	874886	568866
797327	468083	695817	292500	311649
471	19623	932083	831502	487361
958222	463485	487444	572280	383045
205440	134752	544504	671499	554407
444224	84806	374000	120717	702371
488175	850636	915685	798841	336067
368137	794595	74538	972667	889481
272720	536376	283294	569594	259924
279664	262402	761039	153862	754164
756892	111752	403182	308426	749715
330668	525632	225385	323801	635489
909396	357249	491955	948127	167725
382967	110509	402153	161606	424343
97358	767688	399716	269795	925816
707153	596545	181446	365404	799384
714145	267114	60433	380742	151911
670170	875691	538960	856560	296717
831598	290478	588504	445225	19834
889249	368219	356723	168740	698700
487976	361865	122812	878809	753543
169489	702534	865020	940666	327697
619702	491597	117546	56006	628002
670502	517176	380412	47352	619114
112448	283248	65977	174064	137796
244714	490469	95495	615251	536386
784962	447821	474084	499149	5627
392651	271438	72362	95814	401512
834005	130756	205436	63858	820739
542030	492743	470988	37926	826777
633917	28103	783743	329005	51709
349992	494572	240585	280020	867871
848983	348562	244993	149858	670253
735200	338363	101210	857865	117287
797426	797140	486497	79240	327289
926903	444274	126793	157212	296364
767467	132810	604173	93056	525441
327420	244837	286628	314766	109953
793507	642670	201512	303872	783503
802819	227727	770079	233314	244785
956337	202816	500479	907666	887757
572082	743246	309185	796021	361791
653910	120202	726649	479145	831347
630884	680021	954558	534505	499398
258078	606887	326149	253345	521990
987364	594915	114772	176963	254575
224699	821437	161087	397059	755326
